Date,Close,High,Low,Open,Volume
2/4/2021,36926.06641,38592.17578,36317.5,37475.10547,68838074392
2/5/2021,38144.30859,38225.90625,36658.76172,36931.54688,58598066402
2/6/2021,39266.01172,40846.54688,38138.38672,38138.38672,71326033653
2/7/2021,38903.44141,39621.83594,37446.15234,39250.19141,65500641143
2/8/2021,46196.46484,46203.92969,38076.32422,38886.82813,1.01467E+11
2/9/2021,46481.10547,48003.72266,45166.96094,46184.99219,91809846886
2/10/2021,44918.18359,47145.56641,43881.15234,46469.76172,87301089896
2/11/2021,47909.33203,48463.46875,44187.76172,44898.71094,81388911810
2/12/2021,47504.85156,48745.73438,46424.97656,47877.03516,76555041196
2/13/2021,47105.51563,48047.74609,46392.28125,47491.20313,70250456155
2/14/2021,48717.28906,49487.64063,47114.50781,47114.50781,71248675228
2/15/2021,47945.05859,48875.57031,46347.47656,48696.53516,77069903166
2/16/2021,49199.87109,50341.10156,47201.30469,47944.45703,77049582886
2/17/2021,52149.00781,52533.91406,49072.37891,49207.27734,80820545404
2/18/2021,51679.79688,52474.10547,51015.76563,52140.97266,52054723579
2/19/2021,55888.13281,56113.65234,50937.27734,51675.98047,63495496918
2/20/2021,56099.51953,57505.22656,54626.55859,55887.33594,68145460026
2/21/2021,57539.94531,58330.57031,55672.60938,56068.56641,51897585191
2/22/2021,54207.32031,57533.39063,48967.56641,57532.73828,92052420332
2/23/2021,48824.42578,54204.92969,45290.58984,54204.92969,1.06102E+11
2/24/2021,49705.33203,51290.13672,47213.5,48835.08594,63695521388
2/25/2021,47093.85156,51948.96875,47093.85156,49709.08203,54506565949
2/26/2021,46339.76172,48370.78516,44454.84375,47180.46484,3.50968E+11
2/27/2021,46188.45313,48253.26953,45269.02734,46344.77344,45910946382
2/28/2021,45137.76953,46716.42969,43241.61719,46194.01563,53443887451
3/1/2021,49631.24219,49784.01563,45115.09375,45159.50391,53891300112
3/2/2021,48378.98828,50127.51172,47228.84375,49612.10547,47530897720
3/3/2021,50538.24219,52535.13672,48274.32031,48415.81641,53220811975
3/4/2021,48561.16797,51735.08984,47656.92969,50522.30469,52343816680
3/5/2021,48927.30469,49396.42969,46542.51563,48527.03125,48625928883
3/6/2021,48912.38281,49147.21875,47257.52734,48899.23047,34363564661
3/7/2021,51206.69141,51384.36719,48918.67969,48918.67969,43137459378
3/8/2021,52246.52344,52314.07031,49506.05469,51174.11719,48597428048
3/9/2021,54824.11719,54824.11719,51981.83203,52272.96875,50912227385
3/10/2021,56008.55078,57258.25391,53290.89063,54824.01172,57295577614
3/11/2021,57805.12109,58091.0625,54484.59375,55963.17969,56772343595
3/12/2021,57332.08984,57996.62109,55376.64844,57821.21875,55689944702
3/13/2021,61243.08594,61683.86328,56217.97266,57343.37109,60669829814
3/14/2021,59302.31641,61597.91797,59302.31641,61221.13281,43901225564
3/15/2021,55907.19922,60540.99219,55393.16406,59267.42969,66419369890
3/16/2021,56804.90234,56833.17969,53555.02734,55840.78516,59749798599
3/17/2021,58870.89453,58969.81641,54528.62891,56825.82813,60258313191
3/18/2021,57858.92188,60116.25,54253.57813,58893.07813,55746041000
3/19/2021,58346.65234,59498.375,56643.70313,57850.44141,49063873786
3/20/2021,58313.64453,60031.28516,58213.29688,58332.26172,50361731222
3/21/2021,57523.42188,58767.89844,56005.61719,58309.91406,51943414539
3/22/2021,54529.14453,58471.48047,54288.15625,57517.89063,56521454974
3/23/2021,54738.94531,55985.44141,53470.69531,54511.66016,56435023914
3/24/2021,52774.26563,57262.38281,52514.33203,54710.48828,70567223787
3/25/2021,51704.16016,53392.38672,50856.57031,52726.74609,67999812841
3/26/2021,55137.3125,55137.3125,51579.85547,51683.01172,56652197978
3/27/2021,55973.51172,56568.21484,54242.91016,55137.56641,47266542233
3/28/2021,55950.74609,56610.3125,55071.11328,55974.94141,47686580918
3/29/2021,57750.19922,58342.09766,55139.33984,55947.89844,57625587027
3/30/2021,58917.69141,59447.22266,57251.55078,57750.13281,54414116432
3/31/2021,58918.83203,59930.02734,57726.41797,58930.27734,65520826225
4/1/2021,59095.80859,59586.07031,58505.27734,58926.5625,61669163792
4/2/2021,59384.3125,60267.1875,58869.28125,59098.87891,58727860620
4/3/2021,57603.89063,60110.26953,57603.89063,59397.41016,59641344484
4/4/2021,58758.55469,58913.74609,57168.67578,57604.83984,50749662970
4/5/2021,59057.87891,59891.29688,57694.82422,58760.875,60706272115
4/6/2021,58192.35938,59479.57813,57646.80859,59171.93359,66058027988
4/7/2021,56048.9375,58731.14453,55604.02344,58186.50781,75645303584
4/8/2021,58323.95313,58338.73828,55879.08594,56099.91406,53053855641
4/9/2021,58245.00391,58937.04688,57807.86328,58326.5625,46655208546
4/10/2021,59793.23438,61276.66406,58038.70703,58253.77734,58238470525
4/11/2021,60204.96484,60790.55469,59289.79688,59846.23047,46280252580
4/12/2021,59893.45313,61253.03516,59589.875,60175.94531,51828688519
4/13/2021,63503.45703,63742.28516,59869.95703,59890.01953,69983454362
4/14/2021,63109.69531,64863.09766,61554.79688,63523.75391,77451779687
4/15/2021,63314.01172,63821.67188,62208.96484,63075.19531,60954381579
4/16/2021,61572.78906,63594.72266,60222.53125,63258.50391,84293007468
4/17/2021,60683.82031,62572.17578,60361.35156,61529.92188,66138759198
4/18/2021,56216.18359,61057.45703,52829.53516,60701.88672,97468872758
4/19/2021,55724.26563,57520.05469,54368.59375,56191.58594,65344865159
4/20/2021,56473.03125,57062.14844,53448.04688,55681.79297,67849323955
4/21/2021,53906.08984,56757.97266,53695.46875,56471.12891,54926612466
4/22/2021,51762.27344,55410.23047,50583.8125,53857.10547,74798630778
4/23/2021,51093.65234,52120.79297,47714.66406,51739.80859,86668667320
4/24/2021,50050.86719,51167.5625,48805.28516,51143.22656,49014494781
4/25/2021,49004.25391,50506.01953,47159.48438,50052.83203,46117114240
4/26/2021,54021.75391,54288.00391,48852.79688,49077.79297,58284039825
4/27/2021,55033.11719,55416.96484,53319.1875,54030.30469,49448222757
4/28/2021,54824.70313,56227.20703,53887.91797,55036.63672,48000572955
4/29/2021,53555.10938,55115.84375,52418.02734,54858.08984,46088929780
4/30/2021,57750.17578,57900.71875,53129.60156,53568.66406,52395931985
5/1/2021,57828.05078,58448.33984,57052.27344,57714.66406,42836427360
5/2/2021,56631.07813,57902.59375,56141.90625,57825.86328,38177405335
5/3/2021,57200.29297,58973.30859,56590.87109,56620.27344,51713139031
5/4/2021,53333.53906,57214.17969,53191.42578,57214.17969,68564706967
5/5/2021,57424.00781,57911.36328,52969.05469,53252.16406,69241316747
5/6/2021,56396.51563,58363.31641,55382.50781,57441.30859,69523285106
5/7/2021,57356.40234,58606.63281,55321.84766,56413.95313,68434023376
5/8/2021,58803.77734,59464.61328,56975.21094,57352.76563,65382980634
5/9/2021,58232.31641,59210.88281,56482.00391,58877.39063,65906690347
5/10/2021,55859.79688,59519.35547,54071.45703,58250.87109,71776546298
5/11/2021,56704.57422,56872.54297,54608.65234,55847.24219,61308396325
5/12/2021,49150.53516,57939.36328,49150.53516,56714.53125,75215403907
5/13/2021,49716.19141,51330.84375,46980.01953,49735.43359,96721152926
5/14/2021,49880.53516,51438.11719,48868.57813,49682.98047,55737497453
5/15/2021,46760.1875,50639.66406,46664.14063,49855.49609,59161047474
5/16/2021,46456.05859,49720.04297,43963.35156,46716.63672,64047871555
5/17/2021,43537.51172,46623.55859,42207.28906,46415.89844,74903638450
5/18/2021,42909.40234,45812.45703,42367.83203,43488.05859,56187365084
5/19/2021,37002.44141,43546.11719,30681.49609,42944.97656,1.26358E+11
5/20/2021,40782.73828,42462.98438,35050.61719,36753.66797,88281943359
5/21/2021,37304.69141,42172.17188,33616.45313,40596.94922,82051616861
5/22/2021,37536.63281,38831.05469,35383.68359,37371.03125,57377273240
5/23/2021,34770.58203,38289.21875,31227.33984,37531.44922,78469274361
5/24/2021,38705.98047,39835.14063,34551.08203,34700.36328,67359584098
5/25/2021,38402.22266,39776.35156,36581.42969,38795.78125,56211915803
5/26/2021,39294.19922,40782.07813,37905.83594,38392.625,51346735160
5/27/2021,38436.96875,40379.61719,37247.90234,39316.89063,43210968721
5/28/2021,35697.60547,38856.96875,34779.03906,38507.08203,55200191952
5/29/2021,34616.06641,37234.5,33693.92969,35684.15625,45231013335
5/30/2021,35678.12891,36400.66797,33520.73828,34607.40625,31646080921
5/31/2021,37332.85547,37468.25,34241.94531,35658.59375,39009847639
6/1/2021,36684.92578,37896.73438,35787.08594,37293.79297,34639423297
6/2/2021,37575.17969,38231.33984,35966.30859,36699.92188,33070867190
6/3/2021,39208.76563,39478.95313,37243.97266,37599.41016,35460750427
6/4/2021,36894.40625,39242.48438,35717.72266,39242.48438,41831090187
6/5/2021,35551.95703,37917.71484,34900.41406,36880.15625,35959473399
6/6/2021,35862.37891,36436.42188,35304.57813,35538.60938,28913440585
6/7/2021,33560.70703,36790.57031,33480.64063,35835.26563,33683936663
6/8/2021,33472.63281,34017.38672,31114.44336,33589.51953,49902050442
