date,CLOSE,HIGH,LOW,OPEN,VOLUME
1/1/2021,1.004487038,1.005823016,1.003247023,1.003774047,278153536
1/2/2021,1.000921965,1.005074024,0.999014974,1.004500985,588836476
1/3/2021,1.001397967,1.00217998,1.000033021,1.000954032,537297796
1/4/2021,1.001232028,1.003654003,1.000506997,1.001405001,638960956
1/5/2021,1.002285957,1.002725959,1.000229955,1.001232982,479869770
1/6/2021,1.001626015,1.003273964,1.00001204,1.002392054,449099903
1/7/2021,0.999750018,1.001970053,0.99921602,1.001613021,507948433
1/8/2021,1.000167966,1.001204014,0.99931401,0.999773979,573546810
1/9/2021,1.001243949,1.001693964,0.999293029,1.000118971,426771932
1/10/2021,0.999697983,1.007688999,0.999466002,1.00126195,461427626
1/11/2021,1.001016021,1.013075948,0.998453021,0.999567986,958822243
1/12/2021,1.000579953,1.001572013,0.999345005,1.000959992,448764354
1/13/2021,1.000404954,1.002158046,0.999678016,1.000412941,333395308
1/14/2021,1.001888037,1.002604008,1.000072002,1.000406027,399350087
1/15/2021,1.001253009,1.002789021,1.000262022,1.001963973,411495878
1/16/2021,1.000746012,1.002359986,1.00039804,1.001240015,321098274
1/17/2021,1.000684977,1.001330972,0.999961019,1.000733972,249817374
1/18/2021,1.000856996,1.001489997,0.999961019,1.000815988,235553948
1/19/2021,1.000241995,1.002203941,0.999981999,1.00088203,466574610
1/20/2021,1.000915051,1.000915051,0.999221981,1.000218987,378694413
1/21/2021,1.000412941,1.001391053,0.999186993,1.000920057,462420708
1/22/2021,1.001477003,1.001904011,1.000298023,1.000633001,452632736
1/23/2021,1.003136992,1.003877044,1.000983,1.001394987,297679712
1/24/2021,1.001978993,1.003700018,1.00178194,1.003191948,301905576
1/25/2021,1.000447035,1.002763033,1.000308037,1.001970053,351131614
1/26/2021,1.000885963,1.002156973,0.999539971,1.000393033,313797531
1/27/2021,1.00089705,1.001909971,0.999418974,1.00079298,340795072
1/28/2021,1.000589967,1.001613021,0.999970973,1.000892997,238725114
1/29/2021,0.999659002,1.001718998,0.999149024,1.000241041,410430767
1/30/2021,1.000705957,1.000756979,0.99941498,0.999553978,207085085
1/31/2021,1.000277042,1.002930045,0.999421,1.000632048,219524281
2/1/2021,1.000797987,1.000972986,0.999785006,1.000313044,226213887
2/2/2021,1.00138402,1.001930952,1.000175953,1.000767946,362186002
2/3/2021,1.00069499,1.001966953,1.000684023,1.001405954,287910066
2/4/2021,1.000362039,1.001502991,0.999848008,1.00069797,329554139
2/5/2021,1.00030601,1.001852989,0.999962986,1.00047195,260732732
2/6/2021,1.001059055,1.002558947,1.000221014,1.000437021,265174711
2/7/2021,1.001654983,1.001675963,1.000491023,1.001078963,330423304
2/8/2021,1.00127995,1.002846956,0.999652982,1.001644969,880288777
2/9/2021,1.001440048,1.002393961,1.000491023,1.001335025,359119292
2/10/2021,1.001070023,1.001773953,0.998978972,1.001436949,362414223
2/11/2021,1.000951052,1.002110958,1.000558019,1.001077056,288142016
2/12/2021,1.001724958,1.002053976,1.000269055,1.00089705,271553255
