date,CLOSE,HIGH,LOW,OPEN,VOLUME
1/1/2021,1.001916051,1.00205195,1.000607967,1.000614047,60509986287.0
1/2/2021,1.00059998,1.001991034,0.999540985,1.001888037,87333964442.0
1/3/2021,1.00051403,1.001901984,0.999168992,1.000427008,120426000000.0
1/4/2021,1.000128031,1.002993941,0.999430001,1.000499964,125906000000.0
1/5/2021,1.002202034,1.002832055,0.999844015,1.000174046,101919000000.0
1/6/2021,1.001528025,1.002825022,0.999567986,1.002228975,116105000000.0
1/7/2021,1.000399947,1.002573013,0.999069989,1.001448035,129468000000.0
1/8/2021,1.000044942,1.001178026,0.999135017,1.000365019,131556000000.0
1/9/2021,1.002946973,1.00315702,0.999637008,1.000013947,103292000000.0
1/10/2021,1.000223041,1.002925992,0.998539984,1.002923965,135438000000.0
1/11/2021,1.000586987,1.00109005,0.99395299,1.000252008,180779000000.0
1/12/2021,1.000414014,1.00128901,0.999028027,1.000591993,117510000000.0
1/13/2021,1.000017047,1.001060009,0.999225974,1.000491023,98217076295.0
1/14/2021,0.998964012,1.000869989,0.99892199,1.000020027,97567813514.0
1/15/2021,0.999845028,1.000167012,0.998564005,0.998977005,112215000000.0
1/16/2021,1.000195026,1.001531959,0.999423981,0.999835014,101604000000.0
1/17/2021,1.000414014,1.000723004,0.999212027,1.000226974,91132972168.0
1/18/2021,1.000803947,1.001132011,0.999840975,1.000411987,81024209658.0
1/19/2021,1.000435948,1.002275944,1.00009203,1.000769019,103735000000.0
1/20/2021,1.000686049,1.000854969,0.998861015,1.000412941,115894000000.0
1/21/2021,0.999696016,1.000818968,0.998143971,1.000697017,125636000000.0
1/22/2021,1.001350045,1.001610994,0.999260008,0.999754012,121549000000.0
1/23/2021,1.000555038,1.001906991,1.000480056,1.001361966,80722167203.0
1/24/2021,1.001417041,1.003126979,1.00027597,1.000555038,84413124756.0
1/25/2021,0.999970973,1.00206995,0.999651015,1.001453996,101159000000.0
1/26/2021,1.00108099,1.001826048,0.999916017,0.999952972,101648000000.0
1/27/2021,1.001764059,1.002203941,1.000406981,1.001101971,105902000000.0
1/28/2021,1.001543045,1.002336025,1.000764966,1.001773953,104090000000.0
1/29/2021,1.000486016,1.003222942,1.000007987,1.001296997,183671000000.0
1/30/2021,1.001242995,1.001332998,0.99991101,1.000483036,115649000000.0
1/31/2021,1.000808001,1.001312017,1.000262022,1.001219988,101328000000.0
2/1/2021,1.000645041,1.001162052,0.999697983,1.000838041,117812000000.0
2/2/2021,1.001427054,1.00178504,1.000367045,1.000645041,112355000000.0
2/3/2021,1.001013041,1.002326012,1.000785947,1.001389027,106217000000.0
2/4/2021,1.000803947,1.001531959,1.000509024,1.00098896,130071000000.0
2/5/2021,1.000131011,1.001574039,0.999961972,1.000787973,116242000000.0
2/6/2021,1.001129031,1.002163053,1.000067949,1.000126958,121039000000.0
2/7/2021,1.001211047,1.00148201,1.000308037,1.001124024,130349000000.0
2/8/2021,1.001044035,1.003142953,1.00029099,1.001240969,156718000000.0
2/9/2021,1.001232028,1.002882004,1.000437975,1.001081944,155577000000.0
2/10/2021,1.000722051,1.001703024,1.000323057,1.001268029,167295000000.0
2/11/2021,1.000367045,1.001315951,1.000239968,1.000700951,144659000000.0
2/12/2021,1.001692057,1.001842976,1.000149965,1.000466943,147107000000.0
2/13/2021,1.000828028,1.002064943,0.999939978,1.001701951,153120000000.0
2/14/2021,1.000746012,1.001227975,1.000118017,1.000802994,138354000000.0
2/15/2021,1.000249982,1.000993013,0.99969399,1.00078702,162694000000.0
2/16/2021,1.000403047,1.000596046,0.999410987,1.000262976,141033000000.0
2/17/2021,1.000370026,1.001271963,0.999803007,1.000341058,139150000000.0
2/18/2021,1.000018954,1.000787973,0.999530971,1.000362039,94966568287.0
2/19/2021,1.000200987,1.00069797,0.999190986,1.000044942,113650000000.0
2/20/2021,1.000067949,1.000535011,0.999495983,1.000228047,137486000000.0
2/21/2021,1.000331998,1.000825047,0.999765992,1.000079989,102446000000.0
2/22/2021,1.000110984,1.000473022,0.998978019,1.000311971,169690000000.0
2/23/2021,1.000031948,1.000542045,0.99741298,1.000167966,195965000000.0
2/24/2021,1.000756979,1.00088203,0.999538004,0.999994993,129007000000.0
2/25/2021,1.000149012,1.001206994,0.99979502,1.000746012,105464000000.0
2/26/2021,0.99999398,1.000378966,0.99872601,1.000074983,124624000000.0
2/27/2021,1.001178026,1.001310945,0.999373972,0.999960005,94710037977.0
2/28/2021,1.002115011,1.002483964,1.000833035,1.001220942,106490000000.0
3/1/2021,1.000409007,1.002331972,1.000409007,1.002086997,96252860017.0
3/2/2021,1.001021981,1.001062036,1.000291944,1.000417948,92797362841.0
3/3/2021,1.000416994,1.00109899,0.999978006,1.001039982,94786928488.0
3/4/2021,1.000074029,1.000859022,0.99958998,1.00039804,103245000000.0
3/5/2021,1.000818968,1.000921965,0.999839008,1.000051975,87483469989.0
3/6/2021,1.00019002,1.000951052,0.999282002,1.000782013,66739320404.0
3/7/2021,1.00031805,1.000597,1.000005007,1.000126958,70107811561.0
3/8/2021,1.000432014,1.00078702,1.000141025,1.000313044,88859705060.0
3/9/2021,1.000668049,1.000841975,1.000120997,1.000419021,95447392493.0
3/10/2021,1.000525951,1.000949025,1.00019896,1.000681043,94996172814.0
3/11/2021,1.000583053,1.000694036,0.999931991,1.00059998,93576067866.0
3/12/2021,1.000342965,1.000699043,0.999881029,1.000553966,99392797660.0
3/13/2021,0.999845028,1.000779986,0.999285996,1.000362039,105302000000.0
3/14/2021,0.999791026,1.000342965,0.999473989,0.999830008,83527066354.0
3/15/2021,1.00037396,1.001019001,0.99940598,0.999835014,110958000000.0
3/16/2021,1.000058055,1.000723004,0.99921602,1.000359058,101176000000.0
3/17/2021,0.999082983,1.002316952,0.999082983,1.000036955,94297363539.0
3/18/2021,1.000924945,1.001469016,0.998700023,0.999031007,87360030730.0
3/19/2021,1.002632022,1.004073024,1.00039506,1.000967979,78992617747.0
3/20/2021,1.002230048,1.004104018,1.001610041,1.002766013,78910215980.0
3/21/2021,1.00127995,1.002931952,0.999538004,1.002264023,75434025575.0
3/22/2021,1.001811028,1.004058957,0.998955011,1.001135945,86052511859.0
3/23/2021,1.001194954,1.002444029,1.000365019,1.001811028,87718238071.0
3/24/2021,1.00130105,1.002320051,0.999719024,1.001024008,97177670255.0
3/25/2021,1.001016021,1.001533985,0.999724984,1.001242042,97273950074.0
3/26/2021,1.001222014,1.002558947,0.999559999,1.001032948,82935770974.0
3/27/2021,1.000601053,1.001934052,0.999872029,1.00128603,73586222744.0
3/28/2021,1.000607014,1.002413034,1.000082016,1.000502944,69313550904.0
3/29/2021,0.999759018,1.000676036,0.999258995,1.000638962,80873581836.0
3/30/2021,1.000895977,1.001000047,0.99900502,0.99980402,82702790409.0
3/31/2021,1.000020027,1.00245297,0.999378026,1.000815988,111254000000.0
4/1/2021,1.000463963,1.001544952,0.999714971,0.999983013,108310000000.0
4/2/2021,1.000576019,1.002323985,0.99842298,1.000615001,103736000000.0
4/3/2021,1.003085017,1.00326097,0.998046994,1.000507951,109584000000.0
4/4/2021,1.003401995,1.011515975,1.001081944,1.003144979,99459708393.0
4/5/2021,1.000254035,1.004850984,0.999786019,1.003437996,132303000000.0
4/6/2021,1.001680017,1.002012014,0.999523997,1.000105977,145941000000.0
4/7/2021,1.001855016,1.002588987,1.000370026,1.001606941,161006000000.0
4/8/2021,1.000167012,1.00188303,1.000144005,1.00188303,100310000000.0
4/9/2021,1.001098037,1.001754045,1.000241995,1.000659943,86500025530.0
4/10/2021,1.000468969,1.002158999,0.997403979,1.001109004,111560000000.0
4/11/2021,1.002177,1.002583027,0.998694003,1.000524044,100278000000.0
4/12/2021,0.999936998,1.002235055,0.998941004,1.002161026,106711000000.0
4/13/2021,0.999275029,1.001296043,0.998829007,1.000018954,137133000000.0
4/14/2021,1.001590014,1.002642989,0.999011993,0.999234974,172073000000.0
4/15/2021,1.000877023,1.003695965,1.000507951,1.001495957,134206000000.0
4/16/2021,1.002344966,1.003914952,1.000092983,1.001085997,232378000000.0
4/17/2021,1.011530042,1.011868,0.999548972,1.002434015,178501000000.0
4/18/2021,1.000103951,1.028045058,0.999800026,1.011404037,226468000000.0
4/19/2021,0.999864995,1.000200033,0.999800026,0.999952972,169647000000.0
4/20/2021,0.999938011,1.000200033,0.99980098,0.999935985,171215000000.0
4/21/2021,0.999931991,1.000200033,0.999801993,1.00009203,130530000000.0
4/22/2021,1.000090003,1.00019896,0.999800026,0.999943972,166853000000.0
4/23/2021,1.000162005,1.000200033,0.99980098,0.999945998,200928000000.0
4/24/2021,0.999908984,1.00019896,0.999800026,1.000138044,105265000000.0
4/25/2021,0.999934018,1.000200033,0.999800026,1.000136018,91733321074.0
4/26/2021,1.000041962,1.000200033,0.999800026,1.000154972,114746000000.0
4/27/2021,1.000061989,1.000200033,0.999800026,0.999840975,100849000000.0
4/28/2021,1.000051975,1.000200033,0.99980098,1.000162959,107174000000.0
4/29/2021,0.999966025,1.00019896,0.99980098,0.999813974,93716158086.0
4/30/2021,1.000008941,1.000200033,0.999800026,1.000043988,99120376275.0
5/1/2021,1.000110984,1.000200033,0.999800026,0.999871016,93561408428.0
5/2/2021,1.000131965,1.000200033,0.999800026,0.999912024,87140031400.0
5/3/2021,1.000164986,1.000200033,0.999800026,0.999958992,115366000000.0
5/4/2021,0.999951005,1.00019896,0.999800026,0.999930978,184508000000.0
5/5/2021,0.999875009,1.00019896,0.999800026,0.999983013,194666000000.0
5/6/2021,1.000169039,1.000200033,0.999800026,1.000069022,209142000000.0
5/7/2021,1.000166059,1.000200033,0.999800026,1.000048041,195954000000.0
5/8/2021,1.000077963,1.000200033,0.999800026,0.999948978,154970000000.0
5/9/2021,1.000058055,1.000200033,0.99980098,1.000167966,177125000000.0
5/10/2021,1.000136971,1.00019896,0.999800026,0.99980098,196654000000.0
5/11/2021,0.999966979,1.000200033,0.999800026,0.99981302,175305000000.0
5/12/2021,0.999993026,1.000200033,0.999800026,1.000066996,179881000000.0
5/13/2021,0.999867976,1.000200033,0.99980098,0.999920011,238503000000.0
5/14/2021,0.999965012,1.000200033,0.999800026,1.000095963,157670000000.0
5/15/2021,0.999822974,1.000200033,0.99980098,0.999960005,160240000000.0
5/16/2021,0.999975026,1.00019896,0.99980098,1.000123978,156190000000.0
5/17/2021,0.999801993,1.000200033,0.999800026,0.999850988,174106000000.0
